symbol,interval,fast_ma,slow_ma,lookback,quantity,fee_rate,initial_capital,trade_index,side,entry_time,entry_price,exit_time,exit_price,gross_pnl,net_pnl,fee,bars_held
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,54,SHORT,1787323440000,77131.30000000,1787323620000,77312.70000000,-1.81400000,-2.43177600,0.61777600,3
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,55,LONG,1787323620000,77312.70000000,1787326500000,77556.80000000,2.44100000,1.82152200,0.61947800,48
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,56,SHORT,1787326500000,77556.80000000,1787329380000,77059.90000000,4.96900000,4.35053320,0.61846680,48
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,57,LONG,1787329380000,77059.90000000,1787332680000,77429.80000000,3.69900000,3.08104120,0.61795880,55
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,58,SHORT,1787332680000,77429.80000000,1787333520000,77577.40000000,-1.47600000,-2.09602880,0.62002880,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,59,LONG,1787333520000,77577.40000000,1787334360000,77301.80000000,-2.75600000,-3.37551680,0.61951680,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,60,SHORT,1787334360000,77301.80000000,1787335380000,77458.80000000,-1.57000000,-2.18904240,0.61904240,17
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,61,LONG,1787335380000,77458.80000000,1787335920000,77292.90000000,-1.65900000,-2.27800680,0.61900680,9
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,62,SHORT,1787335920000,77292.90000000,1787336700000,77405.70000000,-1.12800000,-1.74679440,0.61879440,13
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,63,LONG,1787336700000,77405.70000000,1787337300000,77275.10000000,-1.30600000,-1.92472320,0.61872320,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,64,SHORT,1787337300000,77275.10000000,1787338860000,77043.10000000,2.32000000,1.70272720,0.61727280,26
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,65,LONG,1787338860000,77043.10000000,1787341260000,77085.40000000,0.42300000,-0.19351400,0.61651400,40
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,66,SHORT,1787341260000,77085.40000000,1787343060000,77234.90000000,-1.49500000,-2.11228120,0.61728120,30
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,67,LONG,1787343060000,77234.90000000,1787344860000,77426.80000000,1.91900000,1.30035320,0.61864680,30
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,68,SHORT,1787344860000,77426.80000000,1787345700000,77455.20000000,-0.28400000,-0.90352800,0.61952800,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,69,LONG,1787345700000,77455.20000000,1787346420000,77394.70000000,-0.60500000,-1.22439960,0.61939960,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,70,SHORT,1787346420000,77394.70000000,1787346720000,77643.50000000,-2.48800000,-3.10815280,0.62015280,5
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,71,LONG,1787346720000,77643.50000000,1787351100000,78511.30000000,8.67800000,8.05338080,0.62461920,73
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,72,SHORT,1787351100000,78511.30000000,1787352240000,78460.00000000,0.51300000,-0.11488520,0.62788520,19
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,73,LONG,1787352240000,78460.00000000,1787352540000,78351.40000000,-1.08600000,-1.71324560,0.62724560,5
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,74,SHORT,1787352540000,78351.40000000,1787352840000,78528.90000000,-1.77500000,-2.40252120,0.62752120,5
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,75,LONG,1787352840000,78528.90000000,1787353380000,78378.20000000,-1.50700000,-2.13462840,0.62762840,9
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,76,SHORT,1787353380000,78378.20000000,1787353740000,78500.80000000,-1.22600000,-1.85351600,0.62751600,6
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,77,LONG,1787353740000,78500.80000000,1787355000000,78383.80000000,-1.17000000,-1.79753840,0.62753840,21
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,78,SHORT,1787355000000,78383.80000000,1787356680000,78298.20000000,0.85600000,0.22927200,0.62672800,28
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,79,LONG,1787356680000,78298.20000000,1787357160000,77963.80000000,-3.34400000,-3.96904800,0.62504800,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,80,SHORT,1787357160000,77963.80000000,1787358300000,78063.40000000,-0.99600000,-1.62010880,0.62410880,19
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,81,LONG,1787358300000,78063.40000000,1787358780000,77909.00000000,-1.54400000,-2.16788960,0.62388960,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,82,SHORT,1787358780000,77909.00000000,1787358840000,77985.00000000,-0.76000000,-1.38357600,0.62357600,1
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,83,LONG,1787358840000,77985.00000000,1787358900000,77890.10000000,-0.94900000,-1.57250040,0.62350040,1
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,84,SHORT,1787358900000,77890.10000000,1787360280000,77944.10000000,-0.54000000,-1.16333680,0.62333680,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,85,LONG,1787360280000,77944.10000000,1787361720000,77955.30000000,0.11200000,-0.51159760,0.62359760,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,86,SHORT,1787361720000,77955.30000000,1787362440000,78169.40000000,-2.14100000,-2.76549880,0.62449880,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,87,LONG,1787362440000,78169.40000000,1787363040000,77898.80000000,-2.70600000,-3.33027280,0.62427280,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,88,SHORT,1787363040000,77898.80000000,1787364240000,77954.20000000,-0.55400000,-1.17741200,0.62341200,20
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,89,LONG,1787364240000,77954.20000000,1787368500000,78378.00000000,4.23800000,3.61267120,0.62532880,71
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,90,SHORT,1787368500000,78378.00000000,1787368920000,78571.30000000,-1.93300000,-2.56079720,0.62779720,7
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,91,LONG,1787368920000,78571.30000000,1787370240000,78597.70000000,0.26400000,-0.36467600,0.62867600,22
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,92,SHORT,1787370240000,78597.70000000,1787372700000,78481.40000000,1.16300000,0.53468360,0.62831640,41
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,93,LONG,1787372700000,78481.40000000,1787374200000,78560.00000000,0.78600000,0.15783440,0.62816560,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,94,SHORT,1787374200000,78560.00000000,1787376840000,77277.70000000,12.82300000,12.19964920,0.62335080,44
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,95,LONG,1787376840000,77277.70000000,1787377440000,77023.00000000,-2.54700000,-3.16420280,0.61720280,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,96,SHORT,1787377440000,77023.00000000,1787377800000,77365.30000000,-3.42300000,-4.04055320,0.61755320,6
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,97,LONG,1787377800000,77365.30000000,1787378820000,77145.70000000,-2.19600000,-2.81404400,0.61804400,17
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,98,SHORT,1787378820000,77145.70000000,1787379900000,77364.10000000,-2.18400000,-2.80203920,0.61803920,18
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,99,LONG,1787379900000,77364.10000000,1787380320000,77130.30000000,-2.33800000,-2.95597760,0.61797760,7
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,100,SHORT,1787380320000,77130.30000000,1787380800000,77493.40000000,-3.63100000,-4.24949480,0.61849480,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,101,LONG,1787380800000,77493.40000000,1787382720000,77319.70000000,-1.73700000,-2.35625240,0.61925240,32
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,102,SHORT,1787382720000,77319.70000000,1787383680000,77436.80000000,-1.17100000,-1.79002600,0.61902600,16
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,103,LONG,1787383680000,77436.80000000,1787384580000,77414.10000000,-0.22700000,-0.84640360,0.61940360,15
